id,x_mm,y_mm,theta_deg,source
36,1929.3,165.9,91.2,stable_crates[18]
36,1878.4,175.1,89.7,stable_crates[17]
36,1127.0,794.9,269.5,stable_crates[2]
36,1864.8,802.0,90.6,stable_crates[22]
36,1229.0,803.6,89.8,stable_crates[0]
36,1916.8,804.2,89.6,stable_crates[19]
36,2828.4,1172.3,178.0,stable_crates[6]
36,2830.8,1271.2,3.3,stable_crates[4]
36,1885.6,1717.2,88.6,stable_crates[11]
36,1683.3,1776.3,269.1,stable_crates[14]
41,2164.9,1654.2,267.5,stable_crates[9]
41,2270.6,1657.9,88.1,stable_crates[10]
41,2220.4,1666.4,261.9,stable_crates[8]
47,1979.7,169.9,269.5,stable_crates[20]
47,1826.4,170.8,89.5,stable_crates[21]
47,1080.0,795.5,273.1,stable_crates[3]
47,1180.1,801.7,270.4,stable_crates[1]
47,1763.6,802.3,90.2,stable_crates[15]
47,1816.5,804.6,89.1,stable_crates[16]
47,2829.3,1121.9,1.9,stable_crates[7]
47,2824.6,1219.7,181.7,stable_crates[5]
47,1936.7,1721.9,269.3,stable_crates[12]
47,1630.4,1769.1,269.8,stable_crates[13]
