id,x_mm,y_mm,theta_deg,source
36,1929.3,164.0,91.3,stable_crates[13]
36,1879.2,172.4,90.3,stable_crates[12]
36,1126.7,793.7,268.3,stable_crates[5]
36,1865.3,801.6,90.6,stable_crates[11]
36,1228.8,802.4,90.9,stable_crates[3]
36,1917.2,803.9,89.1,stable_crates[1]
36,2827.1,1172.9,180.1,stable_crates[9]
36,2829.3,1271.5,51.6,stable_crates[7]
36,1886.8,1716.9,88.5,stable_crates[19]
36,1684.9,1775.6,269.3,stable_crates[22]
41,2165.3,1653.7,267.3,stable_crates[17]
41,2270.7,1657.5,88.4,stable_crates[18]
41,2220.9,1665.9,262.0,stable_crates[16]
47,1980.0,167.0,269.0,stable_crates[15]
47,1826.7,167.8,90.1,stable_crates[14]
47,1079.6,794.0,272.3,stable_crates[6]
47,1180.1,800.3,269.3,stable_crates[4]
47,1764.1,802.1,90.1,stable_crates[2]
47,1816.8,804.4,89.6,stable_crates[0]
47,2828.0,1122.7,357.8,stable_crates[10]
47,2823.3,1220.2,179.7,stable_crates[8]
47,1937.9,1721.6,269.5,stable_crates[20]
47,1632.0,1768.6,269.8,stable_crates[21]
