id,x_mm,y_mm,theta_deg,source
36,1929.8,163.3,,stable_crates[16]
36,1879.5,172.0,,stable_crates[15]
36,1127.4,793.0,,stable_crates[5]
36,1865.7,801.1,,stable_crates[14]
36,1229.6,801.8,,stable_crates[3]
36,1917.7,803.8,,stable_crates[1]
36,185.4,1119.9,,stable_crates[17]
36,2826.1,1172.5,,stable_crates[10]
36,187.9,1272.0,,stable_crates[8]
36,2828.2,1272.0,,stable_crates[7]
41,2165.6,1654.1,,stable_crates[21]
41,2271.0,1657.7,,stable_crates[22]
41,2221.2,1666.4,,stable_crates[20]
47,1980.2,167.2,,stable_crates[19]
47,1827.1,167.9,,stable_crates[18]
47,1080.3,793.4,,stable_crates[6]
47,1180.8,799.6,,stable_crates[4]
47,1764.8,801.6,,stable_crates[2]
47,1817.4,804.0,,stable_crates[0]
47,2827.3,1122.4,,stable_crates[13]
47,183.2,1171.4,,stable_crates[12]
47,2822.6,1220.0,,stable_crates[9]
47,185.3,1221.4,,stable_crates[11]
