[INFO] [1776691607.771806069] [tag_localization]: tag_localization started
[INFO] [1776691607.772639344] [tag_localization]: detections_topic=/aruco/detections_json
[INFO] [1776692424.186972194] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692424.792828309] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692425.183221818] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692425.603259156] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692425.909603536] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692426.725293811] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692429.154671933] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692429.493351180] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692429.843732041] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692430.404255764] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692430.932414383] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692431.467421064] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692432.122809219] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692433.104584263] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692433.577722683] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692434.436037880] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692434.784233197] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692435.525641623] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692436.965834882] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692437.879157962] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692438.407046984] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692438.837230691] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692440.329396076] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692440.787678003] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692441.186974728] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692441.880934898] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692442.394356897] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692442.776576497] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692443.592345054] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692444.511932298] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692445.095066096] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692445.408208260] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692446.410182397] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692446.814708044] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692448.139403197] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692448.633193607] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692449.682827725] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692450.670671796] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692452.447109260] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692452.826450075] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692453.373446568] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692453.679669209] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692454.145694030] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692454.661534630] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692455.178404946] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692456.121594887] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692456.574456204] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692456.934798264] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692457.568967181] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692458.035324937] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.437, y=1.128, yaw=-117.6 deg
[INFO] [1776692458.439637491] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.437, y=1.128, yaw=-117.6 deg
